epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.442,1.64379,2.4967,1.69148,0.56892,0.43927,0.45392,0.20375,1.83145,2.05025,1.67239,0.00333037,0.00333037,0.00333037
2,447.552,1.67264,1.95488,1.7057,0.523,0.42755,0.43758,0.17637,1.96424,1.89079,1.82168,0.00653176,0.00653176,0.00653176
3,652.24,1.7561,1.93623,1.78597,0.46333,0.42308,0.38765,0.14559,2.18132,2.17414,2.06972,0.00960115,0.00960115,0.00960115
4,855.65,1.78547,1.93127,1.81856,0.52606,0.44185,0.4341,0.18062,1.97283,2.03389,1.89934,0.009406,0.009406,0.009406
5,1050.69,1.72808,1.8335,1.7886,0.55288,0.48446,0.4992,0.22602,1.88399,1.7278,1.81066,0.009208,0.009208,0.009208
6,1252,1.69402,1.76451,1.7627,0.63213,0.50564,0.55359,0.25199,1.91721,1.69639,1.83558,0.00901,0.00901,0.00901
7,1447.53,1.66642,1.71494,1.74104,0.64476,0.5127,0.56639,0.26107,1.83935,1.63535,1.78405,0.008812,0.008812,0.008812
8,1642.76,1.64957,1.67331,1.72663,0.66178,0.5265,0.58789,0.28343,1.80097,1.53777,1.73536,0.008614,0.008614,0.008614
9,1852.58,1.61855,1.62088,1.69513,0.66511,0.51251,0.58648,0.28781,1.79364,1.54438,1.75624,0.008416,0.008416,0.008416
10,2048.48,1.60274,1.6118,1.68954,0.70375,0.5495,0.62433,0.30708,1.76921,1.42449,1.7059,0.008218,0.008218,0.008218
11,2242.87,1.59254,1.58553,1.67607,0.68284,0.52448,0.59881,0.29177,1.80422,1.47141,1.71184,0.00802,0.00802,0.00802
12,2437.59,1.58067,1.55782,1.66221,0.69434,0.56551,0.6395,0.32334,1.71327,1.39687,1.66252,0.007822,0.007822,0.007822
13,2634.2,1.56433,1.52656,1.65552,0.73187,0.55556,0.64488,0.33385,1.72345,1.38205,1.67649,0.007624,0.007624,0.007624
14,2835.31,1.55664,1.51012,1.64436,0.7442,0.56165,0.65044,0.33553,1.70592,1.37016,1.65138,0.007426,0.007426,0.007426
15,3029.53,1.53664,1.48884,1.62992,0.72154,0.57048,0.65485,0.33894,1.69746,1.33412,1.63904,0.007228,0.007228,0.007228
16,3223.94,1.52896,1.47349,1.6224,0.7496,0.56533,0.65579,0.34185,1.71298,1.34038,1.63722,0.00703,0.00703,0.00703
17,3418.44,1.52759,1.45113,1.61477,0.74799,0.57987,0.67355,0.35116,1.68481,1.29846,1.61504,0.006832,0.006832,0.006832
18,3621.03,1.51591,1.44238,1.6056,0.73296,0.59588,0.67673,0.36056,1.63167,1.28951,1.58625,0.006634,0.006634,0.006634
19,3815.18,1.50469,1.42405,1.6002,0.73622,0.59128,0.67921,0.36429,1.65672,1.26125,1.6022,0.006436,0.006436,0.006436
20,4009.45,1.49526,1.41082,1.59057,0.76165,0.60011,0.6854,0.36841,1.65701,1.25055,1.60012,0.006238,0.006238,0.006238
21,4204.04,1.48673,1.40378,1.5843,0.75941,0.59753,0.69355,0.37393,1.62985,1.23836,1.57006,0.00604,0.00604,0.00604
22,4398.52,1.48409,1.37944,1.57615,0.74476,0.62234,0.69343,0.3749,1.63124,1.24279,1.57768,0.005842,0.005842,0.005842
23,4597.08,1.47286,1.36295,1.5644,0.75358,0.60667,0.68665,0.37166,1.64179,1.25158,1.58321,0.005644,0.005644,0.005644
24,4791.57,1.46649,1.35812,1.56159,0.76983,0.6038,0.69394,0.37774,1.63723,1.21964,1.57281,0.005446,0.005446,0.005446
25,4985.85,1.46174,1.34039,1.55781,0.74748,0.6233,0.69969,0.38378,1.6122,1.20681,1.55398,0.005248,0.005248,0.005248
26,5180.32,1.45537,1.32354,1.55011,0.77275,0.6163,0.70557,0.39079,1.59454,1.19154,1.54261,0.00505,0.00505,0.00505
27,5378.94,1.4466,1.31745,1.545,0.76004,0.61465,0.70838,0.38787,1.60794,1.19629,1.55141,0.004852,0.004852,0.004852
28,5573.06,1.43948,1.30705,1.53992,0.77498,0.61925,0.70873,0.39556,1.59275,1.17136,1.54339,0.004654,0.004654,0.004654
29,5766.92,1.4334,1.2988,1.53849,0.76312,0.62901,0.71501,0.39805,1.5921,1.16134,1.5433,0.004456,0.004456,0.004456
30,5961.17,1.43347,1.28557,1.53698,0.77793,0.62054,0.71309,0.39677,1.58962,1.16373,1.54094,0.004258,0.004258,0.004258
31,6169.07,1.42195,1.26642,1.51985,0.78587,0.62919,0.72087,0.39909,1.58759,1.15533,1.53246,0.00406,0.00406,0.00406
32,6367.52,1.41792,1.2571,1.51943,0.76542,0.62753,0.71569,0.39955,1.59104,1.15698,1.53509,0.003862,0.003862,0.003862
33,6561.57,1.40643,1.24297,1.5116,0.77786,0.63618,0.72357,0.40501,1.5819,1.12798,1.52671,0.003664,0.003664,0.003664
34,6755.72,1.40291,1.25009,1.50901,0.78356,0.63225,0.72436,0.40635,1.57597,1.12152,1.52516,0.003466,0.003466,0.003466
35,6949.84,1.39269,1.22889,1.49732,0.78292,0.63251,0.72498,0.40886,1.5741,1.12219,1.5234,0.003268,0.003268,0.003268
36,7145.02,1.38805,1.20731,1.49055,0.78828,0.63377,0.72564,0.41075,1.57448,1.12763,1.51985,0.00307,0.00307,0.00307
37,7341.81,1.37642,1.20933,1.48335,0.78609,0.636,0.73051,0.41343,1.56325,1.11265,1.51071,0.002872,0.002872,0.002872
38,7535.97,1.37027,1.19612,1.48244,0.78922,0.63103,0.72629,0.41476,1.563,1.1088,1.51142,0.002674,0.002674,0.002674
39,7730.09,1.36817,1.18918,1.47654,0.79038,0.6349,0.73128,0.41659,1.5646,1.10112,1.51123,0.002476,0.002476,0.002476
40,7925.16,1.35794,1.17365,1.46899,0.78848,0.63434,0.73111,0.41672,1.56465,1.10097,1.51179,0.002278,0.002278,0.002278
41,8122.89,1.38184,1.06162,1.51465,0.79521,0.63434,0.73243,0.4166,1.56739,1.09321,1.51339,0.00208,0.00208,0.00208
42,8314.67,1.36458,1.02978,1.50783,0.79067,0.63581,0.73317,0.41738,1.57292,1.0892,1.52078,0.001882,0.001882,0.001882
43,8506.39,1.35152,1.00857,1.49498,0.78821,0.63728,0.73504,0.41907,1.56826,1.08152,1.51841,0.001684,0.001684,0.001684
44,8698.12,1.34113,0.98228,1.48523,0.78672,0.64501,0.7362,0.42037,1.56953,1.07916,1.51808,0.001486,0.001486,0.001486
45,8890.13,1.32677,0.97394,1.47187,0.79639,0.64225,0.73813,0.42077,1.56963,1.07751,1.51631,0.001288,0.001288,0.001288
46,9084.97,1.31205,0.95049,1.46367,0.80095,0.64225,0.73925,0.42155,1.57042,1.07423,1.51742,0.00109,0.00109,0.00109
47,9276.77,1.29767,0.94114,1.44837,0.79893,0.64225,0.73828,0.42187,1.57269,1.07159,1.51945,0.000892,0.000892,0.000892
48,9468.45,1.28995,0.9182,1.44632,0.79889,0.64152,0.73886,0.42318,1.57351,1.07001,1.52039,0.000694,0.000694,0.000694
49,9664,1.28074,0.91127,1.43615,0.79864,0.64501,0.73965,0.42371,1.57455,1.06762,1.52169,0.000496,0.000496,0.000496
50,9860.8,1.27423,0.89746,1.43003,0.79651,0.64685,0.73963,0.4237,1.57653,1.06583,1.52317,0.000298,0.000298,0.000298
