epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14350.7,1.42538,1.26807,1.64211,0.7896,0.64575,0.72851,0.40827,1.57669,1.15566,1.70649,0.0079705,0.0079705,0.0079705
43,14685.2,1.42197,1.25199,1.63315,0.79167,0.6452,0.73056,0.40942,1.57705,1.14963,1.70537,0.007921,0.007921,0.007921
44,15024.8,1.41964,1.26273,1.63619,0.78062,0.64777,0.73172,0.40988,1.58794,1.15392,1.71192,0.0078715,0.0078715,0.0078715
45,15360.8,1.41772,1.25299,1.62746,0.79494,0.63526,0.7305,0.40991,1.59475,1.14826,1.71692,0.007822,0.007822,0.007822
46,15696.2,1.41144,1.24866,1.62633,0.79632,0.63458,0.73093,0.41173,1.58618,1.14349,1.71039,0.0077725,0.0077725,0.0077725
47,16035.9,1.41334,1.23731,1.62607,0.80062,0.63084,0.7305,0.41283,1.58291,1.14078,1.70682,0.007723,0.007723,0.007723
48,16371.5,1.40736,1.23114,1.62941,0.79269,0.64032,0.73198,0.413,1.58114,1.1371,1.70588,0.0076735,0.0076735,0.0076735
49,16710.2,1.4068,1.22951,1.62431,0.79084,0.64188,0.73167,0.41388,1.57911,1.12912,1.70315,0.007624,0.007624,0.007624
50,17046,1.39927,1.22491,1.62087,0.79007,0.64501,0.73318,0.41402,1.58237,1.12524,1.70518,0.0075745,0.0075745,0.0075745
51,17381.7,1.39655,1.21869,1.61488,0.78621,0.64612,0.7348,0.41386,1.58474,1.12422,1.70718,0.007525,0.007525,0.007525
52,17721,1.39784,1.20652,1.61278,0.78979,0.64856,0.73584,0.41367,1.58758,1.12164,1.70902,0.0074755,0.0074755,0.0074755
53,18056.9,1.39657,1.21531,1.61651,0.79218,0.64943,0.73623,0.41379,1.58628,1.12067,1.70845,0.007426,0.007426,0.007426
54,18392.7,1.38659,1.19409,1.60819,0.795,0.65072,0.73722,0.41455,1.58511,1.11984,1.70708,0.0073765,0.0073765,0.0073765
55,18731.4,1.38337,1.19366,1.6035,0.78899,0.65219,0.73698,0.4141,1.58583,1.11897,1.70709,0.007327,0.007327,0.007327
56,19066.8,1.37917,1.18418,1.60274,0.7946,0.64777,0.73715,0.41461,1.5854,1.11893,1.70661,0.0072775,0.0072775,0.0072775
57,19406.4,1.38406,1.19048,1.60517,0.79619,0.64775,0.73719,0.41444,1.58587,1.11907,1.70679,0.007228,0.007228,0.007228
58,19741.7,1.3806,1.1805,1.59785,0.79177,0.65109,0.73702,0.41525,1.58622,1.1193,1.70613,0.0071785,0.0071785,0.0071785
59,20099.7,1.37569,1.17371,1.59748,0.79228,0.64854,0.73544,0.41568,1.58684,1.11997,1.7062,0.007129,0.007129,0.007129
60,20442,1.37443,1.17345,1.59709,0.79356,0.64868,0.73557,0.41597,1.58822,1.11875,1.70726,0.0070795,0.0070795,0.0070795
61,20779.2,1.37748,1.17189,1.60105,0.78624,0.65164,0.73537,0.41619,1.58897,1.11832,1.70774,0.00703,0.00703,0.00703
62,21118.7,1.36983,1.16468,1.58592,0.78423,0.65201,0.73617,0.41636,1.58865,1.11747,1.70685,0.0069805,0.0069805,0.0069805
63,21455.1,1.35965,1.14789,1.58246,0.7826,0.65252,0.73611,0.4164,1.58906,1.11705,1.70675,0.006931,0.006931,0.006931
64,21791,1.36595,1.14684,1.58282,0.78598,0.65182,0.73698,0.41655,1.58932,1.11598,1.70593,0.0068815,0.0068815,0.0068815
65,22131.6,1.36312,1.14208,1.58288,0.78612,0.65293,0.73731,0.41686,1.58886,1.11557,1.70551,0.006832,0.006832,0.006832
66,22467.8,1.36129,1.14843,1.58144,0.78323,0.65329,0.73837,0.41745,1.58822,1.11576,1.70476,0.0067825,0.0067825,0.0067825
67,22804.2,1.3641,1.14538,1.58188,0.78231,0.65473,0.73828,0.41734,1.58738,1.11495,1.70381,0.006733,0.006733,0.006733
68,23143.2,1.35051,1.12336,1.56202,0.78576,0.65219,0.73861,0.41739,1.58755,1.11531,1.70328,0.0066835,0.0066835,0.0066835
69,23479,1.35194,1.12575,1.56742,0.78648,0.64998,0.73863,0.41731,1.58839,1.1148,1.70391,0.006634,0.006634,0.006634
70,23816.8,1.35022,1.1288,1.57318,0.78686,0.64833,0.73813,0.41756,1.58825,1.11504,1.70367,0.0065845,0.0065845,0.0065845
71,24160.7,1.34799,1.12505,1.56953,0.78468,0.64869,0.73823,0.41747,1.58813,1.11516,1.70333,0.006535,0.006535,0.006535
72,24510.2,1.34815,1.11554,1.57068,0.78584,0.6498,0.73824,0.41755,1.58873,1.11416,1.70386,0.0064855,0.0064855,0.0064855
73,24848.8,1.34296,1.11462,1.55931,0.7852,0.64985,0.7384,0.41736,1.58869,1.11338,1.70358,0.006436,0.006436,0.006436
74,25183.8,1.34188,1.11016,1.56222,0.78694,0.64998,0.73854,0.41785,1.58908,1.11287,1.70353,0.0063865,0.0063865,0.0063865
75,25518.7,1.34181,1.11156,1.56175,0.78824,0.64869,0.73873,0.41824,1.5893,1.11197,1.70342,0.006337,0.006337,0.006337
76,25857.8,1.33576,1.09541,1.5576,0.78556,0.65017,0.73926,0.41874,1.58877,1.11156,1.70305,0.0062875,0.0062875,0.0062875
77,26190.7,1.33502,1.09829,1.55791,0.78535,0.65043,0.73929,0.41912,1.58772,1.11124,1.70167,0.006238,0.006238,0.006238
78,26525.9,1.33469,1.09569,1.55035,0.78743,0.65172,0.74029,0.41963,1.58699,1.11051,1.70094,0.0061885,0.0061885,0.0061885
79,26858.6,1.32827,1.0845,1.54469,0.79371,0.64906,0.74022,0.41991,1.58742,1.10932,1.70067,0.006139,0.006139,0.006139
80,27191.2,1.33437,1.0817,1.55373,0.79465,0.64925,0.741,0.4204,1.587,1.10817,1.69969,0.0060895,0.0060895,0.0060895
81,27529.2,1.33257,1.08009,1.54729,0.79627,0.64878,0.74037,0.42088,1.58567,1.10807,1.69871,0.00604,0.00604,0.00604
82,27861.7,1.3204,1.06617,1.54148,0.79632,0.6497,0.74082,0.42158,1.58535,1.10707,1.69801,0.0059905,0.0059905,0.0059905
83,28194.1,1.32021,1.07093,1.53784,0.7957,0.64888,0.74105,0.42167,1.58541,1.10631,1.69749,0.005941,0.005941,0.005941
84,28532.6,1.31818,1.06295,1.53765,0.79625,0.64797,0.74063,0.42196,1.58529,1.1051,1.69711,0.0058915,0.0058915,0.0058915
85,28868.3,1.31567,1.06224,1.53354,0.78612,0.65642,0.74101,0.42246,1.58511,1.10407,1.69669,0.005842,0.005842,0.005842
86,29204.6,1.31556,1.05789,1.53329,0.78581,0.65642,0.74091,0.42282,1.5855,1.10337,1.69669,0.0057925,0.0057925,0.0057925
87,29542.7,1.31533,1.05405,1.52723,0.79452,0.64894,0.7411,0.42276,1.58422,1.1025,1.69529,0.005743,0.005743,0.005743
88,29878.5,1.31617,1.05344,1.529,0.79227,0.65274,0.74128,0.42276,1.58393,1.10159,1.69498,0.0056935,0.0056935,0.0056935
89,30219.8,1.30994,1.03998,1.51998,0.79241,0.65182,0.74173,0.4232,1.58364,1.09974,1.69468,0.005644,0.005644,0.005644
90,30555.9,1.3033,1.03918,1.52056,0.79514,0.65035,0.7418,0.42367,1.5832,1.09957,1.69399,0.0055945,0.0055945,0.0055945
91,30892.7,1.30221,1.03081,1.51808,0.79535,0.65109,0.74225,0.42393,1.58301,1.09907,1.69371,0.005545,0.005545,0.005545
92,31233.2,1.29999,1.0271,1.51822,0.79756,0.64869,0.74206,0.42392,1.58292,1.09924,1.69374,0.0054955,0.0054955,0.0054955
93,31570.4,1.29375,1.02404,1.51381,0.79301,0.65109,0.74227,0.42441,1.58277,1.09955,1.69366,0.005446,0.005446,0.005446
94,31907.7,1.30017,1.03031,1.51601,0.79279,0.6506,0.74186,0.42445,1.58312,1.0986,1.69398,0.0053965,0.0053965,0.0053965
