epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.712,1.64382,2.50331,1.69204,0.58817,0.44707,0.46158,0.21216,1.72166,2.0123,1.63954,0.00332963,0.00332963,0.00332963
2,545.22,1.66564,1.94809,1.69112,0.49603,0.41167,0.40702,0.16947,1.989,1.9726,1.86982,0.006597,0.006597,0.006597
3,745.666,1.75631,1.91853,1.77328,0.48192,0.44148,0.40037,0.15338,2.01444,2.16509,1.96117,0.00979837,0.00979837,0.00979837
4,937.141,1.78873,1.94072,1.82599,0.54959,0.42878,0.43117,0.17165,2.07495,1.97989,2.02276,0.009703,0.009703,0.009703
5,1128.24,1.73396,1.84196,1.79156,0.61018,0.47276,0.5047,0.21952,1.95051,1.79298,1.87702,0.009604,0.009604,0.009604
6,1320.06,1.69528,1.77065,1.76703,0.64841,0.46872,0.53391,0.23884,1.91111,1.72147,1.87205,0.009505,0.009505,0.009505
7,1514.82,1.66796,1.71327,1.7408,0.63615,0.51866,0.57064,0.27111,1.80107,1.51656,1.75219,0.009406,0.009406,0.009406
8,1727.34,1.64051,1.67947,1.71267,0.64281,0.50221,0.55904,0.26304,1.8474,1.58602,1.79184,0.009307,0.009307,0.009307
9,1987.42,1.63191,1.64381,1.70406,0.6947,0.51711,0.59213,0.28115,1.77763,1.53159,1.73552,0.009208,0.009208,0.009208
10,2222.32,1.61103,1.60711,1.68713,0.68488,0.53202,0.60161,0.29823,1.7405,1.52486,1.69627,0.009109,0.009109,0.009109
11,2412.55,1.5955,1.57441,1.67307,0.7085,0.53515,0.61482,0.30587,1.80322,1.4431,1.72384,0.00901,0.00901,0.00901
12,2607.09,1.58807,1.55727,1.66439,0.70583,0.54693,0.62247,0.31182,1.73712,1.43492,1.68161,0.008911,0.008911,0.008911
13,2797.8,1.5717,1.5327,1.6525,0.7223,0.54805,0.64075,0.32769,1.73372,1.36425,1.6615,0.008812,0.008812,0.008812
14,2988.53,1.56293,1.518,1.64444,0.70695,0.55061,0.63097,0.3237,1.6996,1.39849,1.65355,0.008713,0.008713,0.008713
15,3178.88,1.54933,1.50446,1.63562,0.72287,0.57266,0.6582,0.33971,1.71059,1.31927,1.66398,0.008614,0.008614,0.008614
16,3373.35,1.54895,1.48417,1.62324,0.7313,0.57048,0.65253,0.33806,1.70117,1.31694,1.65019,0.008515,0.008515,0.008515
17,3564.03,1.53856,1.46675,1.62263,0.7317,0.57717,0.66545,0.34752,1.68137,1.28555,1.62209,0.008416,0.008416,0.008416
18,3755.01,1.52937,1.44815,1.61378,0.74354,0.57141,0.6689,0.35262,1.69031,1.30196,1.63526,0.008317,0.008317,0.008317
19,3945.93,1.53155,1.4531,1.61561,0.72364,0.58815,0.66244,0.3467,1.71116,1.30658,1.63443,0.008218,0.008218,0.008218
20,4136.52,1.51565,1.43368,1.60276,0.73944,0.59745,0.68583,0.3618,1.6494,1.25621,1.59395,0.008119,0.008119,0.008119
21,4331.27,1.50801,1.41744,1.59425,0.75057,0.5968,0.68484,0.36595,1.64818,1.25081,1.60012,0.00802,0.00802,0.00802
22,4521.98,1.50036,1.40409,1.59317,0.76397,0.5852,0.68656,0.36964,1.64241,1.24297,1.60058,0.007921,0.007921,0.007921
23,4712.73,1.49426,1.3967,1.57707,0.75579,0.60429,0.68985,0.37494,1.63219,1.23197,1.57511,0.007822,0.007822,0.007822
24,4921.68,1.4927,1.38964,1.57914,0.75177,0.60917,0.69715,0.37992,1.63197,1.20866,1.57731,0.007723,0.007723,0.007723
25,5124.16,1.48173,1.3801,1.57401,0.76612,0.58595,0.68841,0.37601,1.63006,1.22229,1.58009,0.007624,0.007624,0.007624
26,5319.01,1.4843,1.36394,1.5706,0.75511,0.60999,0.69494,0.37734,1.64633,1.21119,1.58862,0.007525,0.007525,0.007525
27,5509.81,1.47371,1.35146,1.56265,0.77164,0.60545,0.69798,0.38444,1.61318,1.1906,1.55845,0.007426,0.007426,0.007426
28,5700.31,1.46705,1.34935,1.56048,0.76488,0.60048,0.6981,0.38573,1.62414,1.18657,1.57067,0.007327,0.007327,0.007327
